Column 1,Column 2
K63.2,K51.313
K63.2,K51.413
K63.2,K51.513
K63.2,K51.813
K63.2,K51.913
K63.0,K50.014
K63.0,K50.114
K63.0,K50.814
K63.0,K50.914
K63.0,K57.0
K63.0,K57.2
K63.0,K57.4
K63.0,K57.8
K63.0,K51.014
K63.0,K51.214
K63.0,K51.314
K63.0,K51.414
K63.0,K51.514
K63.0,K51.814
K63.0,K51.914
K50.1,K50.8
K29,K52.81
K29,E16.4
K52.3,K52.9
A09,K52.9
A09,R19.7
A09,K52.9
A09,K52.9
A09,K52.9
R19.7,K56.41
R19.7,R15.0
R19.7,K59.1
R19.7,P78.3
R19.7,F45.8
K61.1,K61.39
D01.3,K62.82
D01.3,D04.5
D01.3,D04.5
D01.3,D04.5
K28,K63.3
K65.2,K65.9
K74,K70.3
K74,K70.2
K74,K76.1
K74,K71.7
K74,P78.81
K74,E83.110
R18,K70.31
R18,K70.11
R18,K71.51
K75.1,K75.0
K76.0,K75.81
K82.2,K82.A2
E88.1,K90.81
K90,K91.2
K83,K91.5
K80,K91.86
R19.5,K92.1
R19.5,P54.1
K62.5,K92.2
K62.5,K92.1
K62.5,P54.2
L26,L00
L51,L00
L51,L00
P39.4,L00
P39.4,L00
L10,L01.03
L00,L01.03
L00,L01.03
L00,L51.2
L02.3,L05.01
L88,L08.0
L13.0,L12.2
L13.0,L12.0
L24.A2,L22
L75,L30.1
L75,L73.2
L01,L40.1
L25.5,L50.9
L53,L59.0
L53,L23
L53,L25
L53,L30.4
L43,L66.1
R23.4,L85.9
M35,L87.1
L08.81,L88
L08.81,L08.0
L08.0,L88
L08.0,L08.81
L87,L92.0
M60.2,L92.3
M32,L93.0
M54.0,L93.2
M54.0,M79.3
M54.0,M35.6
M34,L94.0
M34,P83.88
L41,L94.5
L29,L98.1
L29,F45.8
F42.4,L98.1
F42.4,F98.8
I09.9,M05.31
G73.7,M05.32
G73.7,D86.87
G73.7,M34.82
G73.7,M35.03
G73.7,M32.19
M06.4,M13.0
Q66.5,M21.4
M94.2,M22.4
S83.2,M23.2
M26.55,M26.59
M85.6,M27.4
M85.6,E21.0
M31.7,M30.0
I67.7,M30.1
M35.1,M30.8
M35.3,M31.5
M30,M31.7
H16.22,M35.01
M72.8,M35.4
M72.8,M72.6
M72.8,M72.4
M72.8,N13.5
M72.8,N13.6
M72.8,M72.2
M24.2,M35.7
M25.0,M36.2
M42.0,M40.0
Q67.5,M41.0
Q67.5,Q76.3
M85.8,M48.1
M85.8,Q77.4
M85.8,Q78.2
M85.8,D75.81
M80,M48.5
M80,M84.4
M80,M48.5
M51.1,M54.16
M51.1,M54.3
M62.81,M62.84
M71.2,M66.0
M65.2,M75
M65.2,M77
M65.2,M75.3
M81.6,M89.0
M88,M90.6
M91,M93.0
S92.14,M93.2
N00.A,N00.6
N00.5,N00.A
N00.5,N00.A
N01.A,N01.6
N01.5,N01.A
N01.5,N01.A
N02.A,N02.6
N02.5,N02.A
N02.5,N02.A
N03.A,N03.6
N03.5,N03.A
N03.5,N03.A
N04.A,N04.6
N04.5,N04.A
N04.5,N04.A
N05.A,N05.6
N05.5,N05.A
N05.5,N05.A
N06.A,N06.6
N06.5,N06.A
N06.5,N06.A
N07.A,N07.6
N07.5,N07.A
N07.5,N07.A
N13.7,N11.0
N28.8,N13.4
N28.8,N13.1
N28.8,N13.5
N13.1,N13.6
N13.2,N13.6
N13.3,N13.6
N13.5,N13.6
N11.0,N13.70
N18.5,N18.6
R39.2,N19
N12,N20.9
N21.9,N20.9
R10,N23
E23.2,N25.1
E21.1,N25.81
Q61,N28.1
Q61,Q60.6
N05,N28.9
N05,N28.9
N05,N12
N82,N32.1
N34.0,N36.2
N15.9,N39.0
R39.15,N39.41
R39.15,N39.46
N39.3,N39.46
N39.41,N39.46
N30,N41.3
N47.6,N48.1
N48.2,N48.1
N48.2,N48.0
N48.2,N47.6
Q55.63,N48.82
Q55.64,N48.83
N36.0,N50.89
N36.0,N82.1
N36.0,N82.1
N64.81,N65.1
N86,N72
K46,N81.5
N81.2,N81.85
K60.4,N82.3
K60.4,N32.1
N72,N86
D06,N87.1
D06,R87.614
D06,R87.613
D06,D03.5
D06,N87.1
D07.2,N89.1
D07.2,N89.1
N85.7,N89.7
D07.1,N90.1
D07.1,N90.1
F32.81,N94.3
R10.2,N94.81
N92,N95.0
N92,E30.1
D65,O00
D65,O07
D65,O08.1
D65,P60
D65,O45.0
D65,O46.0
D65,O67.0
D65,O72.3
T79.1,O00
T79.1,O07
T79.1,O08.2
T79.1,O88.8
G08,O00
G08,O07
G08,O08.7
G08,O22.5
G08,O87.3
G08,I67.6
D39.2,O01.9
Z33.2,O02.1
Z33.2,O36.4
Z33.2,O03
O36.4,O02.1
O36.4,P95
O08.1,O03.1
O03.37,O03.2
O88,O03.2
O88,O08.2
O88,O07.2
O88,O04.7
O88,O03.2
O88,O03.7
O03.31,O03.37
O03.0,O03.37
O03.0,O03.38
O03.87,O03.7
O03.81,O03.87
O03.5,O03.87
O03.5,O03.88
O22,O03.9
O22,O08.7
O22,O07.35
O22,O04.85
O22,O03.89
O04.87,O04.7
O04.81,O04.87
O04.5,O04.87
O04.5,O04.88
O07.37,O07.2
O07.31,O07.37
O07.0,O07.37
O07.0,O07.38
O08.3,O08.2
O08.3,O08.82
O08.0,O08.82
O08.0,O08.83
O14,O11
O32.1,O32.8
O32.1,O32.8
O09.829,O35.7
P95,O36.4
P95,O02.1
P95,Z37.1
P95,Z37.3
P95,Z37.4
P95,Z37.7
O72.1,O62.2
O72.1,O62.2
O72.1,O75.89
N88.2,O65.5
O64.4,O66.0
O64.4,O66.0
O33.7,O66.3
O62.4,O66.9
O77.8,O68
O77.8,O76
O77.8,O68
O77.9,O68
O77.9,O76
O77.9,O68
O44.1,O69.4
O69.1,O69.81
O69.2,O69.82
O70.1,O70.2
O70.4,O70.2
O70.2,O70.4
O70.2,O70.3
N85.5,O71.2
N85.5,O71.2
N88.1,O71.3
N88.8,O71.3
O70,O71.4
O26.7,O71.6
M62.0,O71.8
O62.2,O72.1
O62.2,O75.89
J95.4,O74.0
J95.4,O29
J95.4,O89.01
G93.1,O74.3
G93.1,O89.2
G93.1,P84
O76,O77.9
O76,O77.8
K64,O87.2
K64,O22.4
O71.0,O90.0
O71.0,O71.81
O71.1,O90.0
O71.1,O71.81
K76.7,O90.4
K76.7,K91.83
J38,P28.89
J38,J05.0
J38,J95.5
J38,R06.1
J38,J04.0
R06.1,P28.89
R06.1,J38.5
I27.0,P29.30
I27.0,I27.20
I27.0,I27.21
I27.0,I27.29
N93,P54.6
N93,E30.1
N93,P54.6
D69.4,P61.0
D69.4,D82.0
D75.1,P61.1
D75.1,D45
N62,P83.4
N62,N65.1
I37,Q22.1
I37,Q22.2
I37,Q22.3
I37,I09.89
I38,Q24.8
I38,Q24.8
I38,I42.4
I38,I09.1
Q28,Q27.8
Q28,Q24.5
Q28,I60.8
Q28,I72.0
J47,Q33.4
J47,A15.0
